6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
6.2,125.1,340.1
9.6,231.3,654.1
7.1,166.8,541.1
